algorithm,alpha,gamma,epsilon_decay,epsilon_min,episodes,seeds,validation_return_mean,validation_return_std,validation_fill_rate_mean
q_learning,0.2,0.99,0.999,0.03,600,3,985.1196823333335,17.697213685153052,0.9418816868493501
q_learning,0.2,0.99,0.999,0.05,600,3,985.1196823333335,17.697213685153052,0.9418816868493501
q_learning,0.2,0.95,0.999,0.03,600,3,739.5544908666669,115.69338311837716,0.8546468606499459
q_learning,0.2,0.95,0.999,0.05,600,3,739.5544908666669,115.69338311837716,0.8546468606499459
q_learning,0.2,0.99,0.996,0.05,600,3,615.7733362666669,109.17477757796969,0.8280884209728887
q_learning,0.2,0.99,0.996,0.03,600,3,615.7733362666669,109.17477757796969,0.8280884209728887
q_learning,0.2,0.95,0.992,0.05,600,3,520.2020744000001,157.02453327087795,0.7978974032141819
q_learning,0.2,0.99,0.992,0.05,600,3,505.1214312666668,84.73696587476773,0.7957937370318436
q_learning,0.2,0.95,0.996,0.05,600,3,464.6310758666668,180.50482206185168,0.7887220394740903
q_learning,0.2,0.95,0.996,0.03,600,3,464.6310758666668,180.50482206185168,0.7887220394740903
q_learning,0.2,0.9,0.999,0.05,600,3,461.2536694000001,194.61692773737613,0.776841931320528
q_learning,0.2,0.9,0.999,0.03,600,3,461.2536694000001,194.61692773737613,0.776841931320528
sarsa,0.2,0.95,0.992,0.03,600,3,392.3241510000001,203.3278946659492,0.7637919073471559
q_learning,0.2,0.99,0.992,0.03,600,3,386.77676660000003,44.58907290063194,0.7658200637052305
sarsa,0.2,0.99,0.992,0.03,600,3,363.3532307333335,144.34075007123275,0.7456200972984831
q_learning,0.2,0.95,0.992,0.03,600,3,351.1154853333334,271.77696755959727,0.7546334175849476
sarsa,0.2,0.99,0.992,0.05,600,3,344.7025637333334,188.43094048019626,0.7368797421344149
sarsa,0.2,0.95,0.996,0.03,600,3,340.08080220000005,59.83024779725085,0.7450014197885891
sarsa,0.2,0.95,0.996,0.05,600,3,340.08080220000005,59.83024779725085,0.7450014197885891
sarsa,0.2,0.99,0.996,0.05,600,3,287.28062700000004,112.63676389531554,0.728371308927653
sarsa,0.2,0.99,0.996,0.03,600,3,287.28062700000004,112.63676389531554,0.728371308927653
sarsa,0.2,0.95,0.992,0.05,600,3,252.53731926666669,133.1605993195228,0.7229228402434185
q_learning,0.2,0.9,0.996,0.05,600,3,222.93083320000008,291.72509345524804,0.7156241450061572
q_learning,0.2,0.9,0.996,0.03,600,3,222.93083320000008,291.72509345524804,0.7156241450061572
q_learning,0.2,0.9,0.992,0.03,600,3,220.23926940000004,297.3641821388879,0.7195335593489541
q_learning,0.1,0.95,0.996,0.05,600,3,215.74512513333343,123.24014949163661,0.7152130999519862
q_learning,0.1,0.95,0.996,0.03,600,3,215.74512513333343,123.24014949163661,0.7152130999519862
sarsa,0.1,0.99,0.992,0.03,600,3,174.2781922666668,170.71848647422695,0.7014284402102948
q_learning,0.2,0.9,0.992,0.05,600,3,138.94073686666673,55.51596016984208,0.6901796561120968
sarsa,0.2,0.9,0.996,0.03,600,3,131.0917151333334,46.764479498025445,0.6835635590845438
sarsa,0.2,0.9,0.996,0.05,600,3,131.0917151333334,46.764479498025445,0.6835635590845438
q_learning,0.1,0.99,0.996,0.03,600,3,123.41308200000009,96.65848296056407,0.6949377675416443
q_learning,0.1,0.99,0.996,0.05,600,3,123.41308200000009,96.65848296056407,0.6949377675416443
