state_id,inventory_bin,demand_signal,price_tier,calendar_type,pipeline_bin,action_id,action
0,stockout,low,discount,weekday,none,5,regular / small
1,stockout,low,discount,weekday,small,3,discount / large
2,stockout,low,discount,weekday,large,8,premium / none
3,stockout,low,discount,weekend,none,1,discount / small
4,stockout,low,discount,weekend,small,10,premium / medium
5,stockout,low,discount,weekend,large,7,regular / large
6,stockout,low,discount,event_or_snap,none,7,regular / large
7,stockout,low,discount,event_or_snap,small,4,regular / none
8,stockout,low,discount,event_or_snap,large,1,discount / small
9,stockout,low,regular,weekday,none,3,discount / large
10,stockout,low,regular,weekday,small,3,discount / large
11,stockout,low,regular,weekday,large,8,premium / none
12,stockout,low,regular,weekend,none,0,discount / none
13,stockout,low,regular,weekend,small,8,premium / none
14,stockout,low,regular,weekend,large,1,discount / small
15,stockout,low,regular,event_or_snap,none,3,discount / large
16,stockout,low,regular,event_or_snap,small,3,discount / large
17,stockout,low,regular,event_or_snap,large,2,discount / medium
18,stockout,low,premium,weekday,none,5,regular / small
19,stockout,low,premium,weekday,small,9,premium / small
20,stockout,low,premium,weekday,large,1,discount / small
21,stockout,low,premium,weekend,none,0,discount / none
22,stockout,low,premium,weekend,small,7,regular / large
23,stockout,low,premium,weekend,large,2,discount / medium
24,stockout,low,premium,event_or_snap,none,5,regular / small
25,stockout,low,premium,event_or_snap,small,6,regular / medium
26,stockout,low,premium,event_or_snap,large,8,premium / none
27,stockout,normal,discount,weekday,none,11,premium / large
28,stockout,normal,discount,weekday,small,10,premium / medium
29,stockout,normal,discount,weekday,large,8,premium / none
30,stockout,normal,discount,weekend,none,3,discount / large
31,stockout,normal,discount,weekend,small,7,regular / large
32,stockout,normal,discount,weekend,large,9,premium / small
33,stockout,normal,discount,event_or_snap,none,7,regular / large
34,stockout,normal,discount,event_or_snap,small,3,discount / large
35,stockout,normal,discount,event_or_snap,large,6,regular / medium
36,stockout,normal,regular,weekday,none,11,premium / large
37,stockout,normal,regular,weekday,small,10,premium / medium
38,stockout,normal,regular,weekday,large,2,discount / medium
39,stockout,normal,regular,weekend,none,1,discount / small
40,stockout,normal,regular,weekend,small,11,premium / large
41,stockout,normal,regular,weekend,large,7,regular / large
42,stockout,normal,regular,event_or_snap,none,3,discount / large
43,stockout,normal,regular,event_or_snap,small,9,premium / small
44,stockout,normal,regular,event_or_snap,large,5,regular / small
45,stockout,normal,premium,weekday,none,3,discount / large
46,stockout,normal,premium,weekday,small,4,regular / none
47,stockout,normal,premium,weekday,large,5,regular / small
48,stockout,normal,premium,weekend,none,3,discount / large
49,stockout,normal,premium,weekend,small,2,discount / medium
50,stockout,normal,premium,weekend,large,4,regular / none
51,stockout,normal,premium,event_or_snap,none,3,discount / large
52,stockout,normal,premium,event_or_snap,small,10,premium / medium
53,stockout,normal,premium,event_or_snap,large,10,premium / medium
54,stockout,high,discount,weekday,none,11,premium / large
55,stockout,high,discount,weekday,small,10,premium / medium
56,stockout,high,discount,weekday,large,4,regular / none
57,stockout,high,discount,weekend,none,9,premium / small
58,stockout,high,discount,weekend,small,11,premium / large
59,stockout,high,discount,weekend,large,9,premium / small
60,stockout,high,discount,event_or_snap,none,7,regular / large
61,stockout,high,discount,event_or_snap,small,9,premium / small
