state_id,inventory_bin,demand_signal,price_tier,calendar_type,pipeline_bin,action_id,action
0,stockout,low,discount,weekday,none,9,premium / small
1,stockout,low,discount,weekday,small,10,premium / medium
2,stockout,low,discount,weekday,large,4,regular / none
3,stockout,low,discount,weekend,none,5,regular / small
4,stockout,low,discount,weekend,small,8,premium / none
5,stockout,low,discount,weekend,large,4,regular / none
6,stockout,low,discount,event_or_snap,none,11,premium / large
7,stockout,low,discount,event_or_snap,small,5,regular / small
8,stockout,low,discount,event_or_snap,large,8,premium / none
9,stockout,low,regular,weekday,none,9,premium / small
10,stockout,low,regular,weekday,small,0,discount / none
11,stockout,low,regular,weekday,large,9,premium / small
12,stockout,low,regular,weekend,none,9,premium / small
13,stockout,low,regular,weekend,small,8,premium / none
14,stockout,low,regular,weekend,large,8,premium / none
15,stockout,low,regular,event_or_snap,none,1,discount / small
16,stockout,low,regular,event_or_snap,small,10,premium / medium
17,stockout,low,regular,event_or_snap,large,8,premium / none
18,stockout,low,premium,weekday,none,9,premium / small
19,stockout,low,premium,weekday,small,8,premium / none
20,stockout,low,premium,weekday,large,8,premium / none
21,stockout,low,premium,weekend,none,9,premium / small
22,stockout,low,premium,weekend,small,8,premium / none
23,stockout,low,premium,weekend,large,0,discount / none
24,stockout,low,premium,event_or_snap,none,9,premium / small
25,stockout,low,premium,event_or_snap,small,6,regular / medium
26,stockout,low,premium,event_or_snap,large,0,discount / none
27,stockout,normal,discount,weekday,none,7,regular / large
28,stockout,normal,discount,weekday,small,10,premium / medium
29,stockout,normal,discount,weekday,large,5,regular / small
30,stockout,normal,discount,weekend,none,7,regular / large
31,stockout,normal,discount,weekend,small,10,premium / medium
32,stockout,normal,discount,weekend,large,4,regular / none
33,stockout,normal,discount,event_or_snap,none,11,premium / large
34,stockout,normal,discount,event_or_snap,small,10,premium / medium
35,stockout,normal,discount,event_or_snap,large,8,premium / none
36,stockout,normal,regular,weekday,none,9,premium / small
37,stockout,normal,regular,weekday,small,8,premium / none
38,stockout,normal,regular,weekday,large,4,regular / none
39,stockout,normal,regular,weekend,none,11,premium / large
40,stockout,normal,regular,weekend,small,6,regular / medium
41,stockout,normal,regular,weekend,large,4,regular / none
42,stockout,normal,regular,event_or_snap,none,11,premium / large
43,stockout,normal,regular,event_or_snap,small,10,premium / medium
44,stockout,normal,regular,event_or_snap,large,8,premium / none
45,stockout,normal,premium,weekday,none,7,regular / large
46,stockout,normal,premium,weekday,small,4,regular / none
47,stockout,normal,premium,weekday,large,8,premium / none
48,stockout,normal,premium,weekend,none,9,premium / small
49,stockout,normal,premium,weekend,small,9,premium / small
50,stockout,normal,premium,weekend,large,8,premium / none
51,stockout,normal,premium,event_or_snap,none,9,premium / small
52,stockout,normal,premium,event_or_snap,small,10,premium / medium
53,stockout,normal,premium,event_or_snap,large,8,premium / none
54,stockout,high,discount,weekday,none,11,premium / large
55,stockout,high,discount,weekday,small,10,premium / medium
56,stockout,high,discount,weekday,large,4,regular / none
57,stockout,high,discount,weekend,none,6,regular / medium
58,stockout,high,discount,weekend,small,10,premium / medium
59,stockout,high,discount,weekend,large,4,regular / none
60,stockout,high,discount,event_or_snap,none,5,regular / small
61,stockout,high,discount,event_or_snap,small,10,premium / medium
62,stockout,high,discount,event_or_snap,large,4,regular / none
63,stockout,high,regular,weekday,none,5,regular / small
64,stockout,high,regular,weekday,small,11,premium / large
65,stockout,high,regular,weekday,large,8,premium / none
66,stockout,high,regular,weekend,none,11,premium / large
67,stockout,high,regular,weekend,small,10,premium / medium
68,stockout,high,regular,weekend,large,8,premium / none
69,stockout,high,regular,event_or_snap,none,9,premium / small
70,stockout,high,regular,event_or_snap,small,8,premium / none
71,stockout,high,regular,event_or_snap,large,8,premium / none
72,stockout,high,premium,weekday,none,11,premium / large
73,stockout,high,premium,weekday,small,11,premium / large
74,stockout,high,premium,weekday,large,9,premium / small
75,stockout,high,premium,weekend,none,9,premium / small
76,stockout,high,premium,weekend,small,8,premium / none
