date,sales,sell_price,calendar_type,demand_signal,split
2011-01-29,45,1.48,weekend,high,train
2011-01-30,33,1.48,weekend,high,train
2011-01-31,23,1.48,weekday,high,train
2011-02-01,13,1.48,event_or_snap,high,train
2011-02-02,8,1.48,weekday,normal,train
2011-02-03,15,1.48,event_or_snap,normal,train
2011-02-04,21,1.48,weekday,low,train
2011-02-05,26,1.48,event_or_snap,low,train
2011-02-06,21,1.48,event_or_snap,low,train
2011-02-07,23,1.48,event_or_snap,low,train
2011-02-08,22,1.48,weekday,low,train
2011-02-09,19,1.48,event_or_snap,low,train
2011-02-10,21,1.48,weekday,low,train
2011-02-11,25,1.48,event_or_snap,low,train
2011-02-12,51,1.48,event_or_snap,low,train
2011-02-13,51,1.48,event_or_snap,normal,train
2011-02-14,40,1.48,event_or_snap,normal,train
2011-02-15,41,1.48,event_or_snap,normal,train
2011-02-16,20,1.48,weekday,high,train
2011-02-17,38,1.48,weekday,high,train
2011-02-18,28,1.48,weekday,high,train
2011-02-19,42,1.48,weekend,high,train
2011-02-20,52,1.48,weekend,high,train
2011-02-21,45,1.48,event_or_snap,high,train
2011-02-22,41,1.48,weekday,high,train
2011-02-23,27,1.48,weekday,high,train
2011-02-24,21,1.48,weekday,high,train
2011-02-25,43,1.48,weekday,high,train
2011-02-26,42,1.48,weekend,high,train
2011-02-27,57,1.48,weekend,high,train
2011-02-28,30,1.48,weekday,high,train
2011-03-01,39,1.48,event_or_snap,high,train
2011-03-02,30,1.48,weekday,high,train
2011-03-03,30,1.48,event_or_snap,high,train
2011-03-04,18,1.48,weekday,high,train
2011-03-05,30,1.48,event_or_snap,high,train
2011-03-06,44,1.48,event_or_snap,high,train
2011-03-07,34,1.48,event_or_snap,normal,train
2011-03-08,23,1.48,weekday,normal,train
2011-03-09,18,1.48,event_or_snap,normal,train
2011-03-10,27,1.48,weekday,normal,train
2011-03-11,19,1.48,event_or_snap,normal,train
2011-03-12,30,1.48,event_or_snap,normal,train
2011-03-13,23,1.48,event_or_snap,normal,train
2011-03-14,29,1.48,weekday,normal,train
2011-03-15,24,1.48,event_or_snap,low,train
2011-03-16,36,1.48,event_or_snap,low,train
2011-03-17,33,1.48,event_or_snap,normal,train
2011-03-18,35,1.48,weekday,normal,train
2011-03-19,33,1.48,weekend,normal,train
2011-03-20,53,1.48,event_or_snap,normal,train
2011-03-21,36,1.48,weekday,high,train
2011-03-22,29,1.48,weekday,high,train
2011-03-23,31,1.48,weekday,high,train
2011-03-24,36,1.48,weekday,high,train
2011-03-25,29,1.48,weekday,high,train
2011-03-26,56,1.48,weekend,high,train
2011-03-27,34,1.48,weekend,high,train
2011-03-28,24,1.48,weekday,high,train
2011-03-29,22,1.48,weekday,high,train
2011-03-30,19,1.48,weekday,high,train
2011-03-31,26,1.48,weekday,normal,train
2011-04-01,40,1.48,event_or_snap,normal,train
2011-04-02,43,1.48,weekend,normal,train
2011-04-03,46,1.48,event_or_snap,normal,train
2011-04-04,31,1.48,weekday,normal,train
2011-04-05,31,1.48,event_or_snap,normal,train
2011-04-06,39,1.48,event_or_snap,high,train
2011-04-07,42,1.48,event_or_snap,high,train
2011-04-08,44,1.48,weekday,high,train
2011-04-09,88,1.48,event_or_snap,high,train
2011-04-10,66,1.48,weekend,high,train
2011-04-11,54,1.48,event_or_snap,high,train
2011-04-12,46,1.48,event_or_snap,high,train
2011-04-13,30,1.48,event_or_snap,high,train
2011-04-14,30,1.48,weekday,high,train
2011-04-15,56,1.48,event_or_snap,high,train
2011-04-16,52,1.48,weekend,high,train
2011-04-17,49,1.48,weekend,high,train
2011-04-18,57,1.48,weekday,high,train
2011-04-19,40,1.48,weekday,high,train
2011-04-20,44,1.48,weekday,high,train
2011-04-21,35,1.48,weekday,high,train
2011-04-22,49,1.48,weekday,high,train
2011-04-23,49,1.48,weekend,high,train
2011-04-24,58,1.48,event_or_snap,high,train
2011-04-25,39,1.48,weekday,high,train
2011-04-26,25,1.48,event_or_snap,high,train
2011-04-27,40,1.48,weekday,high,train
2011-04-28,39,1.48,weekday,high,train
2011-04-29,40,1.48,weekday,high,train
2011-04-30,57,1.48,weekend,high,train
2011-05-01,68,1.48,event_or_snap,high,train
2011-05-02,30,1.48,weekday,high,train
2011-05-03,35,1.48,event_or_snap,high,train
2011-05-04,37,1.48,weekday,high,train
2011-05-05,46,1.48,event_or_snap,high,train
2011-05-06,50,1.48,event_or_snap,high,train
2011-05-07,91,1.48,event_or_snap,high,train
2011-05-08,64,1.48,event_or_snap,high,train
2011-05-09,50,1.48,event_or_snap,high,train
2011-05-10,34,1.48,weekday,high,train
2011-05-11,24,1.48,event_or_snap,high,train
2011-05-12,22,1.48,event_or_snap,high,train
2011-05-13,59,1.48,event_or_snap,high,train
2011-05-14,46,1.48,weekend,high,train
2011-05-15,55,1.48,event_or_snap,high,train
2011-05-16,41,1.48,weekday,high,train
2011-05-17,43,1.48,weekday,high,train
2011-05-18,32,1.48,weekday,high,train
2011-05-19,26,1.48,weekday,high,train
2011-05-20,43,1.48,weekday,high,train
2011-05-21,55,1.48,weekend,high,train
2011-05-22,60,1.48,weekend,high,train
2011-05-23,33,1.48,weekday,high,train
2011-05-24,49,1.48,weekday,high,train
2011-05-25,29,1.48,weekday,high,train
2011-05-26,49,1.48,weekday,high,train
2011-05-27,44,1.48,weekday,high,train
2011-05-28,63,1.48,weekend,high,train
2011-05-29,42,1.48,weekend,high,train
2011-05-30,38,1.48,event_or_snap,high,train
2011-05-31,33,1.48,event_or_snap,high,train
2011-06-01,51,1.48,event_or_snap,high,train
2011-06-02,46,1.48,weekday,high,train
2011-06-03,53,1.48,event_or_snap,high,train
2011-06-04,62,1.48,weekend,high,train
2011-06-05,64,1.48,event_or_snap,high,train
2011-06-06,49,1.48,event_or_snap,high,train
2011-06-07,42,1.48,event_or_snap,high,train
2011-06-08,33,1.48,weekday,high,train
2011-06-09,31,1.48,event_or_snap,high,train
2011-06-10,39,1.48,weekday,high,train
2011-06-11,78,1.48,event_or_snap,high,train
2011-06-12,61,1.48,event_or_snap,high,train
2011-06-13,53,1.48,event_or_snap,high,train
2011-06-14,34,1.48,weekday,high,train
2011-06-15,42,1.48,event_or_snap,high,train
2011-06-16,34,1.48,weekday,high,train
2011-06-17,57,1.48,weekday,high,train
2011-06-18,65,1.48,weekend,high,train
2011-06-19,62,1.48,event_or_snap,high,train
2011-06-20,47,1.48,weekday,high,train
2011-06-21,45,1.48,weekday,high,train
2011-06-22,15,1.48,weekday,high,train
2011-06-23,25,1.48,weekday,high,train
2011-06-24,37,1.48,weekday,high,train
2011-06-25,56,1.48,weekend,high,train
2011-06-26,42,1.48,weekend,high,train
2011-06-27,27,1.48,weekday,high,train
2011-06-28,17,1.48,weekday,high,train
2011-06-29,32,1.48,weekday,normal,train
2011-06-30,34,1.48,weekday,high,train
2011-07-01,52,1.48,event_or_snap,high,train
2011-07-02,64,1.48,weekend,high,train
2011-07-03,63,1.48,event_or_snap,high,train
2011-07-04,29,1.48,event_or_snap,high,train
2011-07-05,46,1.48,event_or_snap,high,train
2011-07-06,35,1.48,event_or_snap,high,train
2011-07-07,38,1.48,event_or_snap,high,train
2011-07-08,42,1.48,weekday,high,train
2011-07-09,59,1.48,event_or_snap,high,train
2011-07-10,37,1.48,weekend,high,train
2011-07-11,58,1.48,event_or_snap,high,train
2011-07-12,40,1.48,event_or_snap,high,train
2011-07-13,44,1.48,event_or_snap,high,train
2011-07-14,32,1.48,weekday,high,train
2011-07-15,28,1.48,event_or_snap,high,train
2011-07-16,40,1.48,weekend,high,train
2011-07-17,52,1.48,weekend,high,train
2011-07-18,51,1.48,weekday,high,train
2011-07-19,27,1.48,weekday,high,train
2011-07-20,40,1.48,weekday,high,train
2011-07-21,29,1.48,weekday,high,train
2011-07-22,56,1.48,weekday,high,train
2011-07-23,46,1.48,weekend,high,train
2011-07-24,45,1.48,weekend,high,train
2011-07-25,42,1.48,weekday,high,train
2011-07-26,37,1.48,weekday,high,train
2011-07-27,33,1.48,weekday,high,train
2011-07-28,32,1.48,weekday,high,train
2011-07-29,23,1.48,weekday,high,train
2011-07-30,51,1.48,weekend,high,train
2011-07-31,58,1.48,weekend,high,train
2011-08-01,39,1.48,event_or_snap,high,train
2011-08-02,51,1.48,weekday,high,train
2011-08-03,51,1.48,event_or_snap,high,train
2011-08-04,59,1.48,weekday,high,train
2011-08-05,69,1.48,event_or_snap,high,train
2011-08-06,83,1.48,event_or_snap,high,train
2011-08-07,72,1.48,event_or_snap,high,train
2011-08-08,57,1.48,weekday,high,train
2011-08-09,62,1.48,event_or_snap,high,train
2011-08-10,54,1.48,weekday,high,train
2011-08-11,59,1.48,event_or_snap,high,train
2011-08-12,84,1.48,event_or_snap,high,train
2011-08-13,72,1.48,event_or_snap,high,train
2011-08-14,62,1.48,weekend,high,train
2011-08-15,50,1.48,event_or_snap,high,train
2011-08-16,61,1.48,weekday,high,train
2011-08-17,52,1.48,weekday,high,train
2011-08-18,80,1.48,weekday,high,train
2011-08-19,89,1.48,weekday,high,train
2011-08-20,105,1.48,weekend,high,train
2011-08-21,92,1.48,weekend,high,train
2011-08-22,61,1.48,weekday,high,train
2011-08-23,44,1.48,weekday,high,train
2011-08-24,43,1.48,weekday,high,train
2011-08-25,27,1.48,weekday,high,train
2011-08-26,39,1.48,weekday,high,train
2011-08-27,83,1.48,weekend,high,train
2011-08-28,76,1.48,weekend,high,train
2011-08-29,36,1.48,weekday,high,train
2011-08-30,31,1.48,weekday,high,train
2011-08-31,43,1.48,event_or_snap,high,train
2011-09-01,54,1.48,event_or_snap,high,train
2011-09-02,30,1.48,weekday,high,train
2011-09-03,67,1.48,event_or_snap,high,train
2011-09-04,28,1.48,weekend,high,train
2011-09-05,47,1.48,event_or_snap,high,train
2011-09-06,25,1.48,event_or_snap,high,train
2011-09-07,40,1.48,event_or_snap,high,train
2011-09-08,25,1.48,weekday,high,train
2011-09-09,36,1.48,event_or_snap,high,train
2011-09-10,54,1.48,weekend,high,train
2011-09-11,58,1.48,event_or_snap,high,train
2011-09-12,53,1.48,event_or_snap,high,train
2011-09-13,34,1.48,event_or_snap,high,train
2011-09-14,21,1.48,weekday,high,train
2011-09-15,47,1.48,event_or_snap,high,train
2011-09-16,34,1.48,weekday,high,train
2011-09-17,38,1.48,weekend,high,train
2011-09-18,34,1.48,weekend,high,train
2011-09-19,30,1.48,weekday,high,train
2011-09-20,31,1.48,weekday,high,train
2011-09-21,31,1.48,weekday,high,train
2011-09-22,35,1.48,weekday,high,train
2011-09-23,35,1.48,weekday,high,train
2011-09-24,43,1.48,weekend,high,train
2011-09-25,45,1.48,weekend,high,train
2011-09-26,46,1.48,weekday,high,train
2011-09-27,36,1.48,weekday,high,train
2011-09-28,30,1.48,weekday,high,train
2011-09-29,18,1.48,weekday,high,train
2011-09-30,35,1.48,weekday,high,train
2011-10-01,47,1.48,event_or_snap,high,train
2011-10-02,36,1.48,weekend,high,train
2011-10-03,27,1.48,event_or_snap,high,train
2011-10-04,35,1.48,weekday,normal,train
2011-10-05,16,1.48,event_or_snap,normal,train
2011-10-06,26,1.48,event_or_snap,normal,train
2011-10-07,32,1.48,event_or_snap,normal,train
2011-10-08,41,1.48,weekend,normal,train
2011-10-09,29,1.48,event_or_snap,normal,train
2011-10-10,34,1.48,event_or_snap,normal,train
2011-10-11,32,1.48,event_or_snap,normal,train
2011-10-12,25,1.48,event_or_snap,normal,train
2011-10-13,24,1.48,event_or_snap,normal,train
2011-10-14,23,1.48,weekday,normal,train
2011-10-15,34,1.48,event_or_snap,normal,train
2011-10-16,38,1.48,weekend,normal,train
2011-10-17,24,1.48,weekday,normal,train
2011-10-18,26,1.48,weekday,normal,train
2011-10-19,10,1.48,weekday,normal,train
2011-10-20,27,1.48,weekday,normal,train
2011-10-21,16,1.48,weekday,normal,train
2011-10-22,34,1.48,weekend,normal,train
2011-10-23,31,1.48,weekend,normal,train
2011-10-24,29,1.48,weekday,low,train
2011-10-25,16,1.48,weekday,normal,train
2011-10-26,26,1.48,weekday,low,train
2011-10-27,29,1.48,weekday,normal,train
2011-10-28,19,1.48,weekday,normal,train
2011-10-29,39,1.48,weekend,normal,train
2011-10-30,23,1.48,weekend,normal,train
2011-10-31,22,1.48,event_or_snap,normal,train
2011-11-01,23,1.48,event_or_snap,normal,train
2011-11-02,22,1.48,weekday,normal,train
2011-11-03,22,1.48,event_or_snap,normal,train
2011-11-04,19,1.48,weekday,low,train
2011-11-05,35,1.48,event_or_snap,low,train
2011-11-06,34,1.48,event_or_snap,low,train
2011-11-07,21,1.48,event_or_snap,normal,train
2011-11-08,14,1.48,weekday,normal,train
2011-11-09,14,1.48,event_or_snap,low,train
2011-11-10,18,1.48,weekday,low,train
2011-11-11,28,1.48,event_or_snap,low,train
2011-11-12,23,1.48,event_or_snap,low,train
2011-11-13,27,1.48,event_or_snap,low,train
2011-11-14,20,1.48,weekday,low,train
2011-11-15,14,1.48,event_or_snap,low,train
2011-11-16,29,1.48,weekday,low,train
2011-11-17,11,1.48,weekday,low,train
2011-11-18,15,1.48,weekday,low,train
2011-11-19,22,1.48,weekend,low,train
2011-11-20,20,1.48,weekend,low,train
2011-11-21,25,1.48,weekday,low,train
2011-11-22,17,1.48,weekday,low,train
2011-11-23,16,1.48,weekday,low,train
2011-11-24,22,1.48,event_or_snap,low,train
2011-11-25,36,1.48,weekday,low,train
2011-11-26,8,1.48,weekend,low,train
2011-11-27,6,1.48,weekend,low,train
2011-11-28,11,1.48,weekday,low,train
2011-11-29,13,1.48,weekday,low,train
2011-11-30,11,1.48,weekday,low,train
2011-12-01,15,1.48,event_or_snap,low,train
2011-12-02,15,1.48,weekday,low,train
2011-12-03,23,1.48,event_or_snap,low,train
2011-12-04,13,1.48,weekend,low,train
2011-12-05,5,1.48,event_or_snap,low,train
2011-12-06,8,1.48,event_or_snap,low,train
2011-12-07,7,1.48,event_or_snap,low,train
2011-12-08,15,1.48,weekday,low,train
2011-12-09,12,1.48,event_or_snap,low,train
2011-12-10,14,1.48,weekend,low,train
2011-12-11,17,1.48,event_or_snap,low,train
2011-12-12,12,1.48,event_or_snap,low,train
2011-12-13,4,1.48,event_or_snap,low,train
2011-12-14,9,1.48,weekday,low,train
2011-12-15,13,1.48,event_or_snap,low,train
2011-12-16,6,1.48,weekday,low,train
2011-12-17,25,1.48,weekend,low,train
2011-12-18,16,1.48,weekend,low,train
2011-12-19,14,1.48,weekday,low,train
2011-12-20,8,1.48,weekday,low,train
2011-12-21,12,1.48,weekday,low,train
2011-12-22,15,1.48,weekday,low,train
2011-12-23,22,1.48,weekday,low,train
2011-12-24,13,1.48,weekend,low,train
2011-12-25,0,1.48,event_or_snap,low,train
2011-12-26,20,1.48,weekday,low,train
2011-12-27,16,1.48,weekday,low,train
2011-12-28,13,1.48,event_or_snap,low,train
2011-12-29,9,1.48,weekday,low,train
2011-12-30,18,1.48,weekday,low,train
2011-12-31,14,1.48,weekend,low,train
2012-01-01,8,1.48,event_or_snap,low,train
2012-01-02,20,1.48,weekday,low,train
2012-01-03,10,1.48,event_or_snap,low,train
2012-01-04,13,1.48,weekday,low,train
2012-01-05,17,1.48,event_or_snap,low,train
2012-01-06,18,1.48,event_or_snap,low,train
2012-01-07,20,1.48,event_or_snap,low,train
2012-01-08,26,1.48,weekend,low,train
2012-01-09,16,1.48,event_or_snap,low,train
2012-01-10,11,1.48,weekday,low,train
2012-01-11,14,1.48,event_or_snap,low,train
2012-01-12,10,1.48,event_or_snap,low,train
2012-01-13,17,1.48,event_or_snap,low,train
2012-01-14,22,1.48,weekend,low,train
2012-01-15,18,1.48,event_or_snap,low,train
2012-01-16,17,1.48,event_or_snap,low,train
2012-01-17,11,1.48,weekday,low,train
2012-01-18,18,1.48,weekday,low,train
2012-01-19,22,1.48,weekday,low,train
2012-01-20,12,1.48,weekday,low,train
2012-01-21,27,1.48,weekend,low,train
2012-01-22,20,1.48,weekend,low,train
2012-01-23,12,1.48,weekday,low,train
2012-01-24,8,1.48,weekday,low,train
2012-01-25,5,1.48,weekday,low,train
2012-01-26,14,1.48,weekday,low,train
2012-01-27,8,1.48,weekday,low,train
2012-01-28,10,1.48,weekend,low,train
2012-01-29,7,1.48,weekend,low,train
2012-01-30,8,1.48,weekday,low,train
2012-01-31,4,1.48,weekday,low,train
2012-02-01,8,1.48,event_or_snap,low,train
2012-02-02,3,1.48,weekday,low,train
2012-02-03,4,1.48,event_or_snap,low,train
2012-02-04,5,1.48,weekend,low,train
2012-02-05,7,1.48,event_or_snap,low,train
2012-02-06,5,1.48,event_or_snap,low,train
2012-02-07,7,1.48,event_or_snap,low,train
2012-02-08,10,1.48,weekday,low,train
2012-02-09,9,1.48,event_or_snap,low,train
2012-02-10,8,1.48,weekday,low,train
2012-02-11,17,1.48,event_or_snap,low,train
2012-02-12,15,1.48,event_or_snap,low,train
2012-02-13,7,1.48,event_or_snap,low,train
2012-02-14,14,1.48,event_or_snap,low,train
2012-02-15,14,1.48,event_or_snap,low,train
2012-02-16,7,1.48,weekday,low,train
2012-02-17,6,1.48,weekday,low,train
2012-02-18,12,1.48,weekend,low,train
2012-02-19,14,1.48,weekend,low,train
2012-02-20,7,1.48,event_or_snap,low,train
2012-02-21,11,1.48,weekday,low,train
2012-02-22,12,1.48,event_or_snap,low,train
2012-02-23,25,1.48,weekday,low,train
2012-02-24,13,1.48,weekday,low,train
2012-02-25,23,1.48,weekend,low,train
2012-02-26,18,1.48,weekend,low,train
2012-02-27,8,1.48,weekday,low,train
2012-02-28,5,1.48,weekday,low,train
2012-02-29,15,1.48,event_or_snap,low,train
2012-03-01,16,1.48,event_or_snap,low,train
2012-03-02,7,1.48,weekday,low,train
2012-03-03,8,1.48,event_or_snap,low,train
2012-03-04,8,1.48,weekend,low,train
2012-03-05,8,1.48,event_or_snap,low,train
2012-03-06,2,1.48,event_or_snap,low,train
2012-03-07,3,1.48,event_or_snap,low,train
2012-03-08,2,1.48,event_or_snap,low,train
2012-03-09,2,1.48,event_or_snap,low,train
2012-03-10,6,1.48,weekend,low,train
2012-03-11,3,1.48,event_or_snap,low,train
2012-03-12,5,1.48,event_or_snap,low,train
2012-03-13,3,1.48,event_or_snap,low,train
2012-03-14,8,1.48,weekday,low,train
2012-03-15,5,1.48,event_or_snap,low,train
2012-03-16,14,1.48,weekday,low,train
2012-03-17,12,1.48,event_or_snap,low,train
2012-03-18,15,1.48,weekend,low,train
2012-03-19,3,1.48,weekday,low,train
2012-03-20,7,1.48,weekday,low,train
2012-03-21,11,1.48,weekday,low,train
2012-03-22,14,1.48,weekday,low,train
2012-03-23,23,1.48,weekday,low,train
2012-03-24,23,1.48,weekend,low,train
2012-03-25,23,1.48,weekend,low,train
2012-03-26,15,1.48,weekday,low,train
2012-03-27,9,1.48,weekday,low,train
2012-03-28,4,1.48,weekday,low,train
2012-03-29,6,1.48,weekday,low,train
2012-03-30,11,1.48,weekday,low,train
2012-03-31,26,1.48,weekend,low,train
2012-04-01,18,1.48,event_or_snap,low,train
2012-04-02,9,1.48,weekday,low,train
2012-04-03,8,1.48,event_or_snap,low,train
2012-04-04,7,1.48,weekday,low,train
2012-04-05,15,1.48,event_or_snap,low,train
2012-04-06,23,1.48,event_or_snap,low,train
2012-04-07,20,1.48,event_or_snap,low,train
2012-04-08,26,1.48,event_or_snap,low,train
2012-04-09,21,1.48,event_or_snap,low,train
2012-04-10,17,1.48,weekday,low,train
2012-04-11,24,1.48,event_or_snap,low,train
2012-04-12,30,1.48,event_or_snap,low,train
2012-04-13,17,1.48,event_or_snap,low,train
2012-04-14,20,1.48,event_or_snap,low,train
2012-04-15,29,1.48,event_or_snap,low,train
2012-04-16,6,1.48,weekday,low,train
2012-04-17,15,1.48,weekday,low,train
2012-04-18,12,1.48,weekday,low,train
2012-04-19,11,1.48,weekday,low,train
2012-04-20,11,1.48,weekday,low,train
2012-04-21,31,1.48,weekend,low,train
2012-04-22,18,1.48,weekend,low,train
2012-04-23,11,1.48,weekday,low,train
2012-04-24,21,1.48,weekday,low,train
2012-04-25,14,1.48,weekday,low,train
2012-04-26,14,1.48,weekday,low,train
2012-04-27,12,1.48,weekday,low,train
2012-04-28,23,1.48,weekend,low,train
2012-04-29,6,1.48,weekend,low,train
2012-04-30,13,1.48,weekday,low,train
2012-05-01,22,1.48,event_or_snap,low,train
2012-05-02,21,1.48,weekday,low,train
2012-05-03,36,1.48,event_or_snap,low,train
2012-05-04,24,1.48,weekday,low,train
2012-05-05,42,1.48,event_or_snap,low,train
2012-05-06,40,1.48,event_or_snap,low,train
2012-05-07,26,1.48,event_or_snap,normal,train
2012-05-08,28,1.48,weekday,normal,train
2012-05-09,23,1.48,event_or_snap,normal,train
2012-05-10,33,1.48,weekday,normal,train
2012-05-11,34,1.48,event_or_snap,normal,train
2012-05-12,42,1.48,event_or_snap,normal,train
2012-05-13,35,1.48,event_or_snap,normal,train
2012-05-14,31,1.48,weekday,normal,train
2012-05-15,18,1.48,event_or_snap,normal,train
2012-05-16,28,1.48,weekday,normal,train
2012-05-17,28,1.48,weekday,normal,train
2012-05-18,37,1.48,weekday,normal,train
2012-05-19,48,1.48,weekend,normal,train
2012-05-20,46,1.48,weekend,normal,train
2012-05-21,31,1.48,weekday,high,train
2012-05-22,33,1.48,weekday,high,train
2012-05-23,48,1.48,weekday,high,train
2012-05-24,47,1.48,weekday,high,train
2012-05-25,44,1.48,weekday,high,train
2012-05-26,70,1.48,weekend,high,train
2012-05-27,61,1.48,weekend,high,train
2012-05-28,53,1.48,event_or_snap,high,train
2012-05-29,44,1.48,weekday,high,train
2012-05-30,38,1.48,weekday,high,train
2012-05-31,34,1.48,weekday,high,train
2012-06-01,37,1.48,event_or_snap,high,train
2012-06-02,49,1.48,weekend,high,train
2012-06-03,54,1.48,event_or_snap,high,train
2012-06-04,27,1.48,weekday,high,train
2012-06-05,51,1.48,event_or_snap,high,train
2012-06-06,48,1.48,event_or_snap,high,train
2012-06-07,38,1.48,event_or_snap,high,train
2012-06-08,40,1.48,weekday,high,train
2012-06-09,38,1.48,event_or_snap,high,train
2012-06-10,60,1.48,weekend,high,train
