episode,algorithm,alpha,gamma,epsilon_min,epsilon_decay,epsilon,return,fill_rate,lost_sales,avg_inventory
0,q_learning,0.2,0.99,0.03,0.999,1.0,-7.652695999999775,0.8827859569648924,414.0,71.01666666666667
1,q_learning,0.2,0.99,0.03,0.999,0.999,-403.74637999999965,0.9570209973753281,131.0,88.60833333333333
2,q_learning,0.2,0.99,0.03,0.999,0.998001,-369.7339399999998,0.9897792313982011,25.0,99.00833333333334
3,q_learning,0.2,0.99,0.03,0.999,0.997002999,377.54893600000037,0.7718000448329971,1018.0,45.25
4,q_learning,0.2,0.99,0.03,0.999,0.996005996001,347.39198800000014,0.9964504678928686,11.0,85.85833333333333
5,q_learning,0.2,0.99,0.03,0.999,0.995009990004999,517.8226240000001,0.8040308747855918,914.0,40.166666666666664
6,q_learning,0.2,0.99,0.03,0.999,0.994014980014994,-511.50806399999976,0.9886409736308316,28.0,93.08333333333333
7,q_learning,0.2,0.99,0.03,0.999,0.993020965034979,345.8752200000001,0.8089802130898022,753.0,52.541666666666664
8,q_learning,0.2,0.99,0.03,0.999,0.992027944069944,721.4726640000007,0.9728166570271833,94.0,77.8
9,q_learning,0.2,0.99,0.03,0.999,0.991035916125874,606.7051120000003,0.8979064357715172,395.0,62.38333333333333
10,q_learning,0.2,0.99,0.03,0.999,0.9900448802097482,444.04915600000027,0.9795769511305616,56.0,81.85833333333333
11,q_learning,0.2,0.99,0.03,0.999,0.9890548353295384,300.3945880000002,0.922964692150569,264.0,74.04166666666667
12,q_learning,0.2,0.99,0.03,0.999,0.9880657804942089,-7.058899999999916,0.9921520033044197,19.0,98.925
13,q_learning,0.2,0.99,0.03,0.999,0.9870777147137147,513.7718960000001,0.9376947040498442,220.0,64.08333333333333
14,q_learning,0.2,0.99,0.03,0.999,0.986090636999001,718.4417640000001,0.8548736462093863,603.0,51.90833333333333
15,q_learning,0.2,0.99,0.03,0.999,0.985104546362002,315.1793640000003,0.8648306426084204,427.0,61.09166666666667
16,q_learning,0.2,0.99,0.03,0.999,0.9841194418156399,-190.23247999999978,0.8843705799151343,327.0,77.9
17,q_learning,0.2,0.99,0.03,0.999,0.9831353223738244,-52.22344399999981,0.9741293532338309,78.0,84.575
18,q_learning,0.2,0.99,0.03,0.999,0.9821521870514505,232.19038400000005,0.7116767048766272,1484.0,19.166666666666668
19,q_learning,0.2,0.99,0.03,0.999,0.981170034864399,255.2681960000004,0.8799076212471132,364.0,72.14166666666667
20,q_learning,0.2,0.99,0.03,0.999,0.9801888648295347,-1482.2375879999995,1.0,0.0,113.39166666666667
21,q_learning,0.2,0.99,0.03,0.999,0.9792086759647052,464.72640400000034,0.8850360096025607,431.0,66.95833333333333
22,q_learning,0.2,0.99,0.03,0.999,0.9782294672887404,628.2612760000002,0.8559070687098369,583.0,51.05833333333333
23,q_learning,0.2,0.99,0.03,0.999,0.9772512378214517,406.80364400000013,0.8260766119438496,731.0,48.55833333333333
24,q_learning,0.2,0.99,0.03,0.999,0.9762739865836302,-251.69332399999996,0.8541996830427893,460.0,75.375
25,q_learning,0.2,0.99,0.03,0.999,0.9752977125970466,292.7853800000001,0.9762150982419855,69.0,84.30833333333334
26,q_learning,0.2,0.99,0.03,0.999,0.9743224148844496,-260.4126759999997,0.9653264478052379,94.0,98.54166666666667
27,q_learning,0.2,0.99,0.03,0.999,0.9733480924695651,-1000.7733239999995,0.9798837729101475,45.0,103.35833333333333
